,Players,Role
0,Rohit Sharma (C),Batsman
1,Virat Kohli,Batsman
2,Suryakumar Yadav,Batsman
3,Hardik Pandya,Batting All-rounder
4,Deepak Hooda,Batting All-rounder
5,Axar Patel,Bowling All-rounder
6,R Ashwin,Bowling All-rounder
7,KL Rahul,WK-Batsman
8,Rishabh Pant,WK-Batsman
9,Dinesh Karthik,WK-Batsman
10,Bhuvneshwar Kumar,Bowler
11,Arshdeep Singh,Bowler
12,R Bishnoi,Bowler
13,Avesh Khan,Bowler
14,Y Chahal,Bowler
