,Players,Role
0,Najibullah Zadran,Batsman
1,Hashmatullah Shahidi,Batsman
2,Hazratullah Zazai,Batsman
3,Ibrahim Zadran,Batsman
4,Usman Ghani,Batsman
5,Samiullah Shinwari,Batting All-rounder
6,Mohammad Nabi (C),Bowling All-rounder
7,Afsar Zazai,WK-Batsman
8,Rahmanullah Gurbaz,WK-Batsman
9,Azmatullah Omarzai,Bowler
10,Fazalhaq Farooqi,Bowler
11,Karim Janat,Bowler
12,Mujeeb ur Rahman,Bowler
13,Naveen ul Haq,Bowler
14,Noor Ahmad,Bowler
15,Farid Ahmad Malik,Bowler
16,Rashid Khan,Others
