,Players,Role
0,Babar Hayat,Batsman
1,Kinchit Shah,Batting Allrounder
2,Ghazanfar Mohammad,Batting Allrounder
3,Nizakat Khan (c),Bowling Allrounder
4,Yasim Murtaza,Bowling Allrounder
5,Aizaz Khan,Bowling Allrounder
6,Scott McKechnie (wk),WK-Batsman
7,Zeeshan Ali,WK-Batsman
8,Dhananjay Rao,Bowler
9,Wajid Shah,Bowler
10,Ayush Shukla,Bowler
11,Ahan Trivedi,Bowler
12,Mohammad Waheed,Bowler
13,Aftab Hussain,Bowler
14,Ateeq Iqbal,Bowler
15,Ehsan Khan,Bowler
16,Haroon Arshad,Bowler
