,Players,Role
0,Babar Azam (c),Batsman
1,Fakhar Zaman,Batsman
2,Haider Ali,Batsman
3,Khushdil Shah,Batsman
4,Asif Ali,Batsman
5,Iftikhar Ahmed,Batting All-rounder
6,Shadab Khan,Bowling All-rounder
7,Mohammad Nawaz,Bowling All-rounder
8,Mohammad Wasim,Bowling All-rounder
9,Mohammad Rizwan,WK-Batsman
10,Haris Rauf,Bowler
11,Naseem Shah,Bowler
12,Shahnawaz Dahani,Bowler
13,Usman Qadir,Bowler
14,Mohammad Hasnain,Bowler
